feature,gain
V85,487.9359893798828
V123,487.6709899902344
V182,473.5080032348633
V287,457.58799743652344
V50,455.1999969482422
V222,439.8869934082031
V319,417.07640075683594
V132,413.9779968261719
V148,412.0769958496094
V236,403.3559875488281
id_15,391.43199157714844
V140,360.69799041748047
V255,360.1510009765625
V18,357.08800506591797
V42,347.60789489746094
V93,340.52301025390625
V125,335.56600189208984
C7,330.2106018066406
V71,304.5360107421875
V265,304.34100341796875
V194,289.9150085449219
V210,289.3470001220703
V220,288.69490814208984
V328,286.7919921875
V171,284.22200775146484
V233,281.04300689697266
V277,279.37599182128906
V175,274.78399658203125
V256,269.27100372314453
V172,269.10699462890625
V322,268.1029968261719
V146,267.9020080566406
V80,267.8110046386719
V184,236.75689697265625
V337,236.2310028076172
V228,235.51499938964844
id_10,232.93699645996094
V39,228.9550018310547
V21,222.10699462890625
V16,220.1820068359375
V167,219.34800720214844
V329,218.13499450683594
id_08,214.70599365234375
V142,200.93800354003906
V212,195.4929962158203
M1,193.86500549316406
V218,190.96400451660156
id_35,190.45899963378906
V208,188.21430206298828
id_23,181.5070037841797
V63,179.31199645996094
V40,174.69700622558594
V239,173.12399291992188
V95,169.59500122070312
V81,167.44200134277344
V199,166.62899780273438
id_12,154.3209991455078
V185,152.98599243164062
V168,152.55299377441406
V227,146.63699340820312
V290,146.54100036621094
id_04,143.80499267578125
V92,139.7530059814453
V109,136.27099609375
V338,135.13800048828125
V204,133.37899780273438
V273,131.73800659179688
V104,130.7429962158203
V101,128.94000244140625
V245,128.0229949951172
V302,124.14399719238281
V144,123.25199890136719
V232,123.0250015258789
V260,118.88500213623047
V278,118.83599853515625
V275,118.70700073242188
V106,115.63400268554688
V121,112.54000091552734
V57,109.76200103759766
id_24,104.87799835205078
V9,99.8927001953125
V174,96.81069946289062
V59,94.756103515625
V192,83.13569641113281
V297,74.78230285644531
V183,0.0
V155,0.0
V14,0.0
V15,0.0
V108,0.0
V188,0.0
V153,0.0
V17,0.0
V27,0.0
V107,0.0
V157,0.0
V158,0.0
V147,0.0
V186,0.0
V97,0.0
V22,0.0
V181,0.0
V173,0.0
id_21,0.0
V110,0.0
V191,0.0
V120,0.0
V119,0.0
V118,0.0
id_36,0.0
V117,0.0
id_34,0.0
V116,0.0
V114,0.0
V113,0.0
V1,0.0
id_29,0.0
id_28,0.0
id_27,0.0
V138,0.0
V112,0.0
V111,0.0
id_22,0.0
V190,0.0
V65,0.0
V28,0.0
V247,0.0
V238,0.0
V46,0.0
V240,0.0
V241,0.0
V242,0.0
V246,0.0
V305,0.0
V304,0.0
V249,0.0
V41,0.0
V122,0.0
V252,0.0
V299,0.0
V254,0.0
V259,0.0
V269,0.0
V276,0.0
V68,0.0
V237,0.0
V235,0.0
V284,0.0
V200,0.0
V334,0.0
V193,0.0
V195,0.0
V196,0.0
V330,0.0
V197,0.0
V198,0.0
V327,0.0
V325,0.0
V84,0.0
V31,0.0
V89,0.0
V202,0.0
V88,0.0
V32,0.0
V211,0.0
V213,0.0
V214,0.0
V250,0.0
