threshold,tp,fp,fn,tn,precision,recall,f1,fn_loss,fp_loss,total_cost,savings
0.07103508771929824,3941,64532,123,49512,0.05755553283776087,0.9697342519685039,0.10866178639866551,1140768.105,193868209.64400002,195008977.749,-137068559.189
0.07353634085213033,3936,63260,128,50784,0.058574915173522236,0.968503937007874,0.11046870614650575,1176564.605,191153041.64900002,192329606.254,-134389187.694
0.0760375939849624,3933,62110,131,51934,0.0595521099889466,0.9677657480314961,0.11219992297488125,1195803.605,188693947.63900003,189889751.24400002,-131949332.68400002
0.07853884711779449,3929,60940,135,53104,0.060568222109173876,0.9667814960629921,0.11399474852392903,1232739.355,186011607.545,187244346.89999998,-129303928.33999997
0.08104010025062656,3920,59846,144,54198,0.061474767117272525,0.9645669291338582,0.11558307533539731,1321772.225,183820110.86900002,185141883.094,-127201464.53400001
0.08354135338345864,3916,58739,148,55305,0.06250099752613518,0.9635826771653543,0.1173878505373282,1343917.975,181315476.252,182659394.227,-124718975.667
0.08604260651629073,3911,57703,153,56341,0.06347583341448372,0.9623523622047244,0.11909619659551143,1367700.915,178945623.95200002,180313324.867,-122372906.30700001
0.0885438596491228,3906,56703,158,57341,0.0644458743750928,0.9611220472440944,0.12079229353826171,1403077.4300000002,176504510.84900004,177907588.27900004,-119967169.71900004
0.09104511278195489,3899,55713,165,58331,0.0654062940347581,0.9593996062992126,0.12246372259564044,1441072.8900000001,173938609.591,175379682.48099998,-117439263.92099997
0.09354636591478696,3892,54732,172,59312,0.06638919213973798,0.9576771653543307,0.12417049515058702,1604881.6949999998,171673745.00900003,173278626.70400003,-115338208.14400002
0.09604761904761905,3883,53778,181,60266,0.06734187752553719,0.9554625984251969,0.12581611988659377,1689331.1949999998,169339851.67700002,171029182.872,-113088764.312
0.09854887218045112,3874,52903,190,61141,0.06823185444810398,0.953248031496063,0.12734833418254138,1879654.145,167408185.737,169287839.882,-111347421.322
0.10105012531328321,3863,52005,201,62039,0.06914512780124579,0.9505413385826772,0.12891276780351063,1952225.67,165134834.873,167087060.54299998,-109146641.98299998
