t_low,t_high,fraud_loss,customer_loss,op_cost,total_cost,savings,effective_recall,n_challenged,n_blocked,challenge_rate,block_rate,legit_challenged,legit_blocked
0.04,0.98,8262711.287749999,28507580.288000003,440400.0,37210691.57575,20729726.98425,0.8599040354330709,88080,599,0.7457581196870661,0.005071629356182477,84611,53
0.06,0.06,795572.255,455803326.51800007,0.0,456598898.77300006,-398658480.21300006,0.9766240157480315,0,74527,0.0,0.6310072137365801,0,70558
0.06,0.08,865475.8085,408298145.74436,51510.0,409215131.55286,-351274712.99286,0.9749630905511811,10302,64225,0.08722525146476107,0.543781962271819,10257,60301
0.06,0.1,965912.243,368716979.14963996,91335.0,369774226.39263994,-311833807.83263993,0.9728223425196851,18267,56260,0.15466352829613575,0.47634368544044436,18164,52394
0.06,0.12000000000000001,1088257.33775,332804349.89836,123960.0,334016567.23611003,-276076148.67611,0.9711245078740157,24792,49735,0.20990957428793985,0.4210976394486402,24643,45915
0.06,0.13999999999999999,1166411.62625,302704944.48911995,150215.0,304021571.11537,-246081152.55536997,0.9691683070866142,30043,44484,0.2543688827175128,0.3766383310190673,29841,40717
0.06,0.16,1229088.575,275230653.61608,172445.0,276632187.19108,-218691768.63107997,0.9672121062992126,34489,40038,0.2920123954346869,0.3389948183018932,34234,36324
0.06,0.18,1306348.50875,252574175.37428,190850.0,254071373.88303,-196130955.32303,0.9655511811023622,38170,36357,0.3231787855183392,0.3078284282182409,37870,32688
0.06,0.19999999999999998,1406241.53075,231089462.78112,206880.0,232702584.31187,-174762165.75187,0.9637795275590552,41376,33151,0.3503234327903275,0.28068378094625257,41028,29530
0.06,0.22,1503848.0929999999,212098951.48880002,220710.0,213823509.5818,-155883091.0218,0.9621186023622048,44142,30385,0.3737426761946693,0.2572645375419108,43749,26809
0.06,0.24,1647149.57075,196652829.89936,232450.0,198532429.47011,-140592010.91011,0.9604945866141732,46490,28037,0.39362278592474687,0.23738442781183325,46053,24505
0.06,0.26,1717537.87175,183074125.45916,242820.0,185034483.33091,-127094064.77091,0.9592027559055117,48564,25963,0.4111829850645172,0.21982422867206286,48092,22466
0.06,0.28,1811578.7045,169870214.53436,252545.0,171934338.23885998,-113993919.67885998,0.9575787401574803,50509,24018,0.4276509635249094,0.20335625021167067,49993,20565
