threshold,tp,fp,fn,tn,precision,recall,f1,fn_loss,fp_loss,total_cost,savings
0.16858395989974936,3699,34695,365,79349,0.09634317862165963,0.9101870078740157,0.17424278110132366,3828662.435,254053029.81800005,257881692.25300005,-199941273.69300005
0.17108521303258145,3692,34229,372,79815,0.09736030167980803,0.9084645669291339,0.1758723353578659,4034789.9349999996,251014188.966,255048978.901,-197108560.341
0.17358646616541354,3686,33783,378,80261,0.09837465638260963,0.906988188976378,0.1774974116967231,4079357.59,248213221.66,252292579.25,-194352160.69
0.1760877192982456,3680,33349,384,80695,0.09938156579977855,0.905511811023622,0.1791059304504417,4116308.3949999996,245167677.39600003,249283985.79100004,-191343567.23100004
0.17858897243107769,3674,32931,390,81113,0.1003688020762191,0.9040354330708661,0.1806781578106174,4154317.28,242280482.468,246434799.748,-188494381.188
0.18109022556390977,3668,32501,396,81543,0.10141281207664021,0.9025590551181102,0.18233788183829194,4211508.03,239391756.926,243603264.956,-185662846.396
0.18359147869674186,3660,32083,404,81961,0.10239767227149373,0.9005905511811023,0.18388725601024947,4303337.82,236324628.21800002,240627966.03800002,-182687547.47800002
0.18609273182957392,3653,31658,411,82386,0.10345218203959106,0.8988681102362205,0.18554920634920632,4549453.569999999,233230264.45200002,237779718.022,-179839299.462
0.188593984962406,3643,31254,421,82790,0.10439292775883313,0.8964074803149606,0.18700752034085366,4656401.725,230230463.708,234886865.433,-176946446.873
0.1910952380952381,3635,30868,429,83176,0.10535315769643219,0.8944389763779528,0.18850312443280523,4742976.56,227333689.75,232076666.31,-174136247.75
0.19359649122807018,3632,30482,432,83562,0.1064665533212171,0.8937007874015748,0.1902666457121903,4758801.195,224871083.62,229629884.815,-171689466.255
0.19609774436090224,3628,30112,436,83932,0.1075281564908121,0.8927165354330708,0.19193736112580678,4793006.405,222549811.96800002,227342818.37300003,-169402399.81300002
0.19859899749373433,3623,29750,441,84294,0.10856081263296677,0.891486220472441,0.19355183374736226,4853415.76,219781295.33000004,224634711.09000003,-166694292.53000003
0.20110025062656642,3620,29392,444,84652,0.10965709438991882,0.890748031496063,0.19527457115114896,4876700.76,217188600.524,222065301.28399998,-164124882.72399998
0.20360150375939848,3615,29041,449,85003,0.11069941205291524,0.8895177165354331,0.1968954248366013,5005797.765000001,214277450.842,219283248.607,-161342830.047
0.20610275689223057,3609,28638,455,85406,0.11191738766396875,0.8880413385826772,0.19878273801327423,5072585.61,211190446.64600003,216263032.25600004,-158322613.69600004
0.20860401002506265,3605,28291,459,85753,0.1130235766240281,0.8870570866141733,0.20050055617352613,5099661.36,208592544.28,213692205.64000002,-155751787.08
0.21110526315789474,3600,27959,464,86085,0.11407205551506702,0.8858267716535433,0.20211661005530135,5133422.109999999,206039036.66,211172458.76999998,-153232040.20999998
0.2136065162907268,3592,27619,472,86425,0.11508762936144308,0.8838582677165354,0.203656980864635,5187104.58,203756767.926,208943872.506,-151003453.946
0.2161077694235589,3582,27291,482,86753,0.11602371003789719,0.8813976377952756,0.2050548129490225,5316591.08,201278982.53400004,206595573.61400005,-148655155.05400005
0.21860902255639098,3577,26974,487,87070,0.11708291054302641,0.8801673228346457,0.20667340748230537,5508091.175,199285981.636,204794072.81100002,-146853654.25100002
0.22111027568922306,3568,26679,496,87365,0.11796211194498628,0.8779527559055118,0.20797994812159368,5575302.675,197276756.888,202852059.56300002,-144911641.00300002
0.22361152882205512,3566,26384,498,87660,0.11906510851419032,0.8774606299212598,0.20967836773093435,5590287.675,195227946.45000002,200818234.12500003,-142877815.56500003
0.2261127819548872,3562,26085,502,87959,0.12014706378385671,0.8764763779527559,0.21132568004508914,5640912.675,193385564.45000002,199026477.12500003,-141086058.56500003
0.2286140350877193,3555,25793,509,88251,0.1211326155104266,0.874753937007874,0.21279779719861125,5801390.925000001,191281483.094,197082874.01900002,-139142455.45900002
0.23111528822055138,3548,25501,516,88543,0.12213845571276119,0.8730314960629921,0.2142964998641017,6019540.824999999,189145339.94200003,195164880.76700002,-137224462.20700002
0.23361654135338344,3544,25195,520,88849,0.12331674727721911,0.8720472440944882,0.2160777977623998,6071595.61,186999802.92200002,193071398.53200004,-135130979.97200003
0.23611779448621553,3543,24924,521,89120,0.12445990093792812,0.8718011811023622,0.21782299960038115,6090941.359999999,185088313.218,191179254.578,-133238836.018
0.23861904761904762,3536,24649,528,89395,0.1254568032641476,0.8700787401574803,0.21929362150764364,6335267.86,182952527.372,189287795.23200002,-131347376.67200002
0.24112030075187968,3528,24382,536,89662,0.12640630598351846,0.8681102362204725,0.22067930193282043,6595455.11,180943632.304,187539087.414,-129598668.854
0.24362155388471177,3527,24112,537,89932,0.12760953724809146,0.8678641732283464,0.222502602277387,6623470.86,179271146.606,185894617.46600002,-127954198.90600002
0.24612280701754385,3522,23836,542,90208,0.12873748081000072,0.8666338582677166,0.22417414550315065,6672276.609999999,177255763.852,183928040.462,-125987621.90200001
0.24862406015037594,3518,23576,546,90468,0.1298442459585148,0.8656496062992126,0.22581680467295717,6701417.945,175166719.46600002,181868137.411,-123927718.85100001
0.25112531328320803,3515,23336,549,90708,0.13090760120665898,0.8649114173228346,0.22739770338023613,6722492.945,173436709.972,180159202.917,-122218784.357
0.2536265664160401,3511,23098,553,90946,0.13194783719794054,0.8639271653543307,0.228930981645095,6772268.2,171732047.824,178504316.024,-120563897.46399999
0.25612781954887215,3502,22847,562,91197,0.13290826976355838,0.8617125984251969,0.23029625489100053,6914704.699999999,169967460.042,176882164.74199998,-118941746.18199998
0.25862907268170426,3499,22591,565,91453,0.13411268685320046,0.8609744094488189,0.23207534655435433,6934079.7,168052578.28800002,174986657.988,-117046239.428
0.2611303258145363,3494,22365,570,91679,0.13511736726091497,0.859744094488189,0.23353273401731112,6965440.305,166654526.612,173619966.917,-115679548.357
0.26363157894736844,3490,22124,574,91920,0.13625361130631686,0.8587598425196851,0.23519105060987938,6989016.265000001,164977342.932,171966359.19700003,-114025940.63700002
0.2661328320802005,3481,21876,583,92168,0.1372796466458966,0.8565452755905512,0.236633697019136,7118705.145,163353434.664,170472139.80900002,-112531721.24900001
0.26863408521303256,3475,21633,589,92411,0.13840210291540544,0.8550688976377953,0.2382421500068559,7195530.895,161658531.708,168854062.60300002,-110913644.04300001
0.2711353383458647,3470,21370,594,92674,0.13969404186795492,0.8538385826771654,0.24010517575422086,7352300.16,159356651.444,166708951.604,-108768533.044
0.27363659147869673,3465,21139,599,92905,0.14083075922614208,0.8526082677165354,0.24173294265383002,7475369.22,157491373.33400002,164966742.55400002,-107026323.99400002
0.2761378446115288,3457,20934,607,93110,0.14173260628920503,0.8506397637795275,0.24298014408715515,7538004.3149999995,156171185.954,163709190.269,-105768771.70899999
0.2786390977443609,3456,20686,608,93358,0.14315301134951536,0.8503937007874016,0.24505424377791957,7550635.0649999995,154281952.6,161832587.665,-103892169.10499999
0.28114035087719297,3450,20476,614,93568,0.14419460001671822,0.8489173228346457,0.2465166130760986,7587218.585,152766553.508,160353772.093,-102413353.53299999
0.28364160401002503,3442,20274,622,93770,0.14513408669252825,0.8469488188976378,0.2478041756659467,7699170.085000001,151396668.796,159095838.881,-101155420.32100001
0.28614285714285714,3434,20034,630,94010,0.1463269132435657,0.84498031496063,0.24945517942757517,7836623.880000001,149732642.898,157569266.778,-99628848.218
0.2886441102756892,3430,19829,634,94215,0.1474697966378606,0.843996062992126,0.2510705266625187,7865212.205,148390604.024,156255816.229,-98315397.669
0.2911453634085213,3425,19618,639,94426,0.14863516035238467,0.8427657480314961,0.25270225403032426,7929574.654999999,146820704.714,154750279.369,-96809860.80899999
0.2936466165413534,3418,19421,646,94623,0.14965628967993344,0.8410433070866141,0.2540980559788871,8090576.25,145514764.68400002,153605340.93400002,-95664922.37400001
0.29614786967418544,3412,19231,652,94813,0.15068674645585833,0.8395669291338582,0.2555135357771371,8210926.505,144277422.548,152488349.053,-94547930.493
0.29864912280701755,3406,19024,658,95020,0.15185020062416407,0.8380905511811023,0.25711481844946027,8378178.23,142880107.65800002,151258285.888,-93317867.32800001
0.3011503759398496,3402,18813,662,95231,0.15313977042538826,0.8371062992125984,0.25891396171848247,8424123.98,141484711.47800004,149908835.45800003,-91968416.89800003
0.3036516290726817,3396,18631,668,95413,0.15417442229990466,0.8356299212598425,0.2603196504541796,8478756.23,139933849.416,148412605.646,-90472187.086
0.3061528822055138,3386,18449,678,95595,0.15507213189832836,0.8331692913385826,0.2614772771149465,8599994.415,138725369.73400003,147325364.14900002,-89384945.58900002
0.30865413533834585,3380,18227,684,95817,0.1564307863192484,0.8316929133858267,0.26333216469946635,8662208.325,137291782.35799998,145953990.68299997,-88013572.12299997
0.31115538847117796,3371,18033,693,96011,0.157493926368903,0.8294783464566929,0.2647243599811528,8726893.37,135678389.56800002,144405282.93800002,-86464864.37800002
0.31365664160401,3364,17849,700,96195,0.15858200160279073,0.827755905511811,0.26617082723424457,8897309.055,134170538.89400001,143067847.949,-85127429.389
0.3161578947368421,3352,17670,712,96374,0.15945200266387594,0.8248031496062992,0.2672406920194531,9214851.095,132583078.57800002,141797929.67300004,-83857511.11300004
0.3186591478696742,3342,17481,722,96563,0.16049560582048697,0.8223425196850394,0.2685739542733154,9649458.184999999,131047151.454,140696609.639,-82756191.079
0.32116040100250626,3334,17288,730,96756,0.16167200077587043,0.8203740157480315,0.2701126144373329,9777945.585,129899814.97600001,139677760.56100002,-81737342.00100002
0.3236616541353383,3329,17070,735,96974,0.16319427422912888,0.8191437007874016,0.27216612843886684,9844190.530000001,128512202.13999999,138356392.67,-80415974.10999998
0.32616290726817043,3322,16886,742,97158,0.16439034045922407,0.8174212598425197,0.27373104812129206,9912691.725,127153833.656,137066525.381,-79126106.82100001
0.3286641604010025,3319,16708,745,97336,0.16572626953612624,0.8166830708661418,0.2755385828732722,9986806.725000001,125951836.76599999,135938643.491,-77998224.931
0.33116541353383455,3312,16536,752,97508,0.16686819830713423,0.8149606299212598,0.2770157243225159,10090296.725000001,124708127.64000005,134798424.36500004,-76858005.80500004
0.33366666666666667,3302,16351,762,97693,0.16801506131379434,0.8125,0.2784500569211958,10284690.67,123480939.84000002,133765630.51000002,-75825211.95000002
0.3361679197994987,3296,16171,768,97873,0.1693121693121693,0.8110236220472441,0.28014109047639285,10442913.355,121953602.656,132396516.011,-74456097.451
0.33866917293233084,3291,16010,773,98034,0.17050930003626755,0.8097933070866141,0.2817034025251445,10474593.05,120701977.7,131176570.75,-73236152.19
0.3411704260651629,3289,15878,775,98166,0.1715970157040747,0.8093011811023622,0.2831561275881365,10491783.8,119795783.294,130287567.094,-72347148.534
0.34367167919799496,3280,15706,784,98338,0.17275887496049722,0.8070866141732284,0.28459869848156183,10610417.41,118612910.94600001,129223328.356,-71282909.796
0.3461729323308271,3276,15529,788,98515,0.17420898697155013,0.8061023622047244,0.2865013774104683,10655399.005,117416586.534,128071985.53899999,-70131566.97899999
0.34867418546365914,3271,15390,793,98654,0.1752853544826108,0.8048720472440944,0.2878767876787679,10706625.810000002,116105077.036,126811702.846,-68871284.286
0.3511754385964912,3267,15231,797,98813,0.1766136879662666,0.8038877952755905,0.28960198563957096,10731788.889999999,114902293.528,125634082.418,-67693663.858
0.3536766917293233,3259,15083,805,98961,0.17767964235088868,0.8019192913385826,0.2909042220833705,10922111.665,113762923.30000001,124685034.965,-66744616.405
0.35617794486215537,3254,14935,810,99109,0.1788993347627687,0.8006889763779528,0.29245494989439624,10990813.280000001,112659256.132,123650069.412,-65709650.852
0.3586791979949875,3248,14794,816,99250,0.18002438754018402,0.7992125984251969,0.29385687143761874,11075289.030000001,111694446.22600001,122769735.25600001,-64829316.69600001
0.36118045112781955,3241,14650,823,99394,0.1811525347940305,0.7974901574803149,0.2952402641767251,11313881.004999999,110672862.68600002,121986743.69100001,-64046325.13100001
0.3636817042606516,3235,14510,829,99534,0.18230487461256692,0.796013779527559,0.2966665138245678,11437716.77,109812452.112,121250168.882,-63309750.322
0.3661829573934837,3231,14367,833,99677,0.18360040913740197,0.7950295275590551,0.2983104053180685,11484456.165,108681882.034,120166338.199,-62225919.639
0.3686842105263158,3227,14213,837,99831,0.18503440366972476,0.7940452755905512,0.3001302083333333,11528259.66,107592469.042,119120728.70199999,-61180310.14199999
0.37118546365914784,3219,14086,845,99958,0.1860156024270442,0.7920767716535433,0.3012775515934297,11593452.489999998,106697572.66400002,118291025.15400001,-60350606.59400001
0.37368671679197996,3215,13942,849,100102,0.18738707233199278,0.7910925196850394,0.3030017435559116,11631899.029999997,105784712.454,117416611.484,-59476192.923999995
0.376187969924812,3209,13801,855,100243,0.18865373309817754,0.7896161417322834,0.3045458859257853,11704765.224999998,104736755.99000001,116441521.215,-58501102.655
0.3786892230576441,3207,13654,857,100390,0.1902022418599134,0.7891240157480315,0.30652329749103946,11720175.225,103796701.704,115516876.92899999,-57576458.36899999
0.3811904761904762,3202,13545,862,100499,0.1911984235982564,0.7878937007874016,0.30772187785305843,11847860.975,102910595.70600002,114758456.68100001,-56818038.12100001
0.38369172932330825,3199,13412,865,100632,0.19258322798145808,0.7871555118110236,0.3094558645707376,11916399.379999999,101934296.30600001,113850695.686,-55910277.126
0.38619298245614037,3194,13282,870,100762,0.1938577324593348,0.7859251968503937,0.31100292112950345,11949159.51,101104598.574,113053758.084,-55113339.524000004
0.3886942355889724,3187,13138,877,100906,0.19522205206738133,0.7842027559055118,0.31261954975722206,12005059.370000001,100040351.052,112045410.422,-54104991.862
0.3911954887218045,3181,12996,883,101048,0.19663720096433207,0.7827263779527559,0.3143125339657131,12049802.04,99125029.486,111174831.526,-53234412.96599999
0.3936967418546366,3173,12845,891,101199,0.1980896491447122,0.780757874015748,0.316004382033662,12161416.940000001,97942974.17000002,110104391.11000001,-52163972.55000001
0.39619799498746866,3168,12727,896,101317,0.19930795847750865,0.7795275590551181,0.3174507740868781,12238061.635000002,97056769.39199999,109294831.027,-51354412.46699999
0.3986992481203007,3162,12608,902,101436,0.20050729232720355,0.7780511811023622,0.318846425330241,12286609.84,96278958.94,108565568.78,-50625150.22
0.40120050125313284,3157,12474,907,101570,0.2019704433497537,0.7768208661417323,0.3205889819751206,12350163.09,95297882.01,107648045.10000001,-49707626.54000001
0.4037017543859649,3153,12363,911,101681,0.20320959010054138,0.7758366141732284,0.32206332992849845,12377014.865,94593939.302,106970954.167,-49030535.60699999
0.40620300751879695,3144,12239,920,101805,0.2043814600533056,0.7736220472440944,0.32334036098112817,12484924.704999998,93703007.928,106187932.633,-48247514.073
0.40870426065162907,3140,12126,924,101918,0.20568583780951133,0.7726377952755905,0.3248836006207967,12535847.375,92933924.58,105469771.955,-47529353.394999996
0.41120551378446113,3133,12007,931,102037,0.20693527080581242,0.7709153543307087,0.3262861903770048,12675524.085,92301066.29400001,104976590.37900001,-47036171.819000006
0.41370676691729324,3127,11898,937,102146,0.20811980033277871,0.7694389763779528,0.3276232385143277,12903097.844999999,91605923.54000002,104509021.38500002,-46568602.82500002
0.4162080200501253,3116,11783,948,102261,0.20914155312437077,0.7667322834645669,0.32863998312503295,13072611.274999999,90967602.928,104040214.20300001,-46099795.64300001
0.41870927318295736,3113,11658,951,102386,0.21075079547762507,0.765994094488189,0.33055481815768517,13108387.024999999,89946326.92400001,103054713.949,-45114295.389
0.4212105263157895,3106,11564,958,102480,0.21172460804362644,0.7642716535433071,0.3315896231450838,13174864.37,89250152.57,102425016.94,-44484598.379999995
0.42371177944862154,3102,11469,962,102575,0.21288861437101092,0.7632874015748031,0.33292192111617924,13206364.370000001,88648024.916,101854389.286,-43913970.725999996
0.4262130325814536,3096,11339,968,102705,0.21447869760997576,0.7618110236220472,0.3347207957186875,13238920.675,87676194.672,100915115.347,-42974696.787
0.4287142857142857,3090,11212,974,102832,0.21605369878338693,0.7603346456692913,0.33649134269846454,13310769.165,86654212.92400001,99964982.08900002,-42024563.529000014
0.4312155388471178,3080,11110,984,102934,0.21705426356589147,0.7578740157480315,0.33746028267776923,13447507.1,86119061.696,99566568.79599999,-41626150.23599999
0.4337167919799499,3070,10992,994,103052,0.2183188735599488,0.7554133858267716,0.3387399315899813,13528669.315,85128369.172,98657038.487,-40716619.927
0.43621804511278195,3064,10860,1000,103184,0.22005170927894283,0.7539370078740157,0.34067155881698913,13601851.2,84377257.402,97979108.602,-40038690.041999996
0.438719298245614,3055,10753,1009,103291,0.22124855156431056,0.7517224409448819,0.3418755595344673,13733341.06,83594852.838,97328193.898,-39387775.338
0.4412205513784461,3051,10627,1013,103417,0.22305892674367597,0.750738188976378,0.34392965843760565,13820133.73,82667699.966,96487833.69600001,-38547415.13600001
0.4437218045112782,3039,10533,1025,103511,0.22391688770999116,0.7477854330708661,0.34463597187570877,13982649.2,82032718.23400001,96015367.43400002,-38074948.87400001
0.44622305764411024,3027,10411,1037,103633,0.22525673463312992,0.7448326771653543,0.3459033253342475,14225022.340000002,81086545.774,95311568.11400001,-37371149.554000005
0.44872431077694236,3021,10304,1043,103740,0.22671669793621013,0.7433562992125984,0.34746103858761285,14320888.09,80263245.33,94584133.42,-36643714.86
0.4512255639097744,3019,10207,1045,103837,0.2282625132315137,0.7428641732283464,0.3492192018507808,14336345.605,79486098.046,93822443.65100001,-35882025.091000006
0.4537268170426065,3014,10096,1050,103948,0.22990083905415712,0.7416338582677166,0.3509956911610574,14405574.73,78796608.772,93202183.502,-35261764.942
0.4562280701754386,3008,9993,1056,104051,0.23136681793708178,0.7401574803149606,0.3525344271901553,14443433.59,78145468.734,92588902.324,-34648483.764
0.45872932330827065,2994,9878,1070,104166,0.23259788688626476,0.7367125984251969,0.3535663675011809,14914435.915,77410965.284,92325401.199,-34384982.639
