t_low,t_high,fraud_loss,customer_loss,op_cost,total_cost,savings,effective_recall,n_challenged,n_blocked,challenge_rate,block_rate,legit_challenged,legit_blocked
0.04,0.26,1287289.721,133201779.54605,313580.0,134802649.26705,-76862230.70705,0.9688238188976378,62716,25963,0.5310055203711856,0.21982422867206286,62198,22466
0.04,0.28,1381330.55375,123809074.75244999,323305.0,125513710.30619998,-67573291.74619998,0.9671998031496063,64661,24018,0.5474734988315779,0.20335625021167067,64099,20565
0.04,0.30000000000000004,1508272.613,116288325.57137999,331835.0,118128433.18438,-60188014.62437999,0.9653543307086614,66367,22312,0.5619179056456802,0.18891184339756834,65755,18909
0.04,0.32,1707223.85375,108420241.02176,339865.0,110467329.87551,-52526911.315510005,0.9629183070866142,67973,20706,0.5755156297625902,0.17531411928065838,67295,17369
0.04,0.34,1817177.2234999998,101518422.64414999,347235.0,103682834.86764999,-45742416.307649985,0.9612204724409449,69447,19232,0.5879957327192061,0.1628340163240424,68723,15941
0.04,0.36000000000000004,1938481.16675,95565604.95466,353565.0,97857651.12141,-39917232.561409995,0.9594857283464566,70713,17966,0.5987147356656619,0.15211501337758662,69942,14722
0.04,0.38,2012450.54975,90195559.98435,359385.0,92567395.5341,-34626976.97409999,0.9580831692913386,71877,16802,0.6085701222609815,0.14225962678226708,71068,13596
0.04,0.4,2096795.9794999997,85137014.89062,364905.0,87598715.87011999,-29658297.310119987,0.9563115157480314,72981,15698,0.6179174992379856,0.13291224980526298,72124,12540
0.04,0.42000000000000004,2218623.809,81073691.14063,369780.0,83662094.94963,-25721676.389630005,0.9545029527559055,73956,14723,0.6261726555356115,0.12465709350763708,73050,11614
0.04,0.44,2308267.175,76732116.68117,374670.0,79415053.85617,-21474635.296169996,0.9524729330708661,74934,13745,0.6344532123141532,0.1163765367290954,73973,10691
0.04,0.46,2486252.98925,72696063.02454,379225.0,75561541.01379001,-17621122.45379001,0.9501476377952757,75845,12834,0.6421664916855759,0.10866325735767264,74821,9843
0.04,0.48000000000000004,2582197.7105,69288615.95999,383295.0,72254108.67049,-14313690.110489994,0.9481545275590552,76659,12020,0.649058488840722,0.1017712602025265,75581,9083
0.04,0.5,2722068.38525,65852850.016330004,387255.0,68962173.40158,-11021754.841580003,0.94564468503937,77451,11228,0.6557642158024859,0.0950655332407627,76305,8359
0.04,0.52,2856087.4512499995,61971375.75885001,391110.0,65218573.21010001,-7278154.650100008,0.9435777559055117,78222,10457,0.6622921393978393,0.08853760964540928,77020,7644
0.04,0.54,3013110.3327499996,58441937.49001,394770.0,61849817.82276,-3909399.2627599984,0.9409940944881889,78954,9725,0.6684898567412876,0.08233989230196091,77682,6982
0.04,0.56,3208492.5305,55313346.050459996,398260.0,58920098.58096,-979680.0209599957,0.9385211614173228,79652,9027,0.6743997019676906,0.07643004707555796,78313,6351
0.04,0.5800000000000001,3416719.81775,52364325.43409,401360.0,56182405.25184,1758013.3081599995,0.9360482283464566,80272,8407,0.6796491346902834,0.07118061435296508,78866,5798
0.04,0.6,3561307.4772499995,49630234.96870999,404185.0,53595727.44595999,4344691.11404001,0.9337967519685039,80837,7842,0.6844328919294206,0.06639685711382802,79370,5294
0.04,0.62,3696981.87125,46919082.42216,407080.0,51023144.29341,6917274.266589999,0.9313238188976377,81416,7263,0.6893351847461645,0.061494564297084026,79882,4782
0.04,0.64,3865058.9884999995,44702508.50295,409715.0,48977282.49145,8963136.068550006,0.9288139763779527,81943,6736,0.6937972025603685,0.05703254648288007,80341,4323
0.04,0.66,4049483.0,42208914.969809994,412395.0,46670792.969809994,11269625.590190008,0.9260826771653543,82479,6200,0.6983354218173198,0.05249432722592881,80803,3861
0.04,0.68,4182494.459,39671994.793079995,414835.0,44269324.25207999,13671094.307920009,0.924015748031496,82967,5712,0.7024672333796187,0.048362515663629896,81235,3429
0.04,0.7000000000000001,4432749.86225,37303225.47921,417445.0,42153420.34146,15786998.218540005,0.9210260826771653,83489,5190,0.706886917058963,0.04394283198428557,81676,2988
0.04,0.7200000000000001,4669171.789249999,35060018.46501,419825.0,40149015.25426,17791403.30574,0.9177411417322834,83965,4714,0.7109171266975988,0.03991262234564975,82063,2601
0.04,0.74,4916159.86325,32886842.636529997,421940.0,38224942.49978,19715476.060220003,0.9148252952755905,84388,4291,0.7144985945067227,0.03633115453652589,82407,2257
0.04,0.76,5181281.429749999,30836241.37597,424165.0,36441687.80572,21498730.75428,0.9114665354330708,84833,3846,0.7182663325092289,0.03256341653401971,82761,1903
0.04,0.78,5457143.3105,29063772.868149996,425980.0,34946896.17864999,22993522.38135001,0.9083661417322835,85196,3483,0.7213397907000373,0.0294899583432113,83040,1624
0.04,0.8,5688826.203500001,27465051.87895,427900.0,33581778.08245,24358640.47755,0.9050442913385827,85580,3099,0.7245910522572561,0.026238696785992482,83334,1330
0.04,0.8200000000000001,5930237.3525,26153791.8871,429535.0,32513564.2396,25426854.320400003,0.9020546259842519,85907,2772,0.7273597046770752,0.023470044366173334,83580,1084
0.04,0.8400000000000001,6225262.2065,24760372.660049997,431200.0,31416834.86655,26523583.693450004,0.89876968503937,86240,2439,0.7301791580587259,0.02065059098452264,83824,840
0.04,0.86,6507057.727249999,23416225.08373,432795.0,30356077.81098,27584340.749020003,0.8947096456692913,86559,2120,0.7328800758627697,0.017949673180478885,84033,631
0.04,0.88,6781789.71425,22629619.570729997,433995.0,29845404.28498,28095014.275020003,0.8916830708661416,86799,1880,0.7349121143360314,0.01591763470721712,84191,473
0.04,0.9,7114237.236500001,21971709.77246,435190.0,29521137.00896,28419281.55104,0.8876230314960629,87038,1641,0.7369356859823213,0.013894063060927287,84320,344
0.04,0.92,7261344.72275,21397121.27237,436185.0,29094650.99512,28845767.564880002,0.8838213582677165,87237,1442,0.7386205845497341,0.01220916449351441,84416,248
0.04,0.9400000000000001,7529803.309249999,21032898.800019998,437210.0,28999912.10927,28940506.450730003,0.8791707677165354,87442,1237,0.7403562840789786,0.01047346496426999,84495,169
0.04,0.9600000000000001,7810849.737499999,20896362.242119998,438265.0,29145476.979619995,28794941.580380008,0.8734498031496063,87653,1026,0.7421427845700546,0.008686964473194026,84551,113
0.04,0.98,8262711.287749999,20807677.615999997,440400.0,29510788.903749995,28429629.656250007,0.8599040354330709,88080,599,0.7457581196870661,0.005071629356182477,84611,53
0.06,0.06,795572.255,322449044.88850003,0.0,323244617.14350003,-265304198.58350003,0.9766240157480315,0,74527,0.0,0.6310072137365801,0,70558
0.06,0.08,865475.8085,289573138.10827,51510.0,290490123.91677,-232549705.35676998,0.9749630905511811,10302,64225,0.08722525146476107,0.543781962271819,10257,60301
0.06,0.1,965912.243,262009501.96223,91335.0,263066749.20523,-205126330.64523,0.9728223425196851,18267,56260,0.15466352829613575,0.47634368544044436,18164,52394
0.06,0.12000000000000001,1088257.33775,236813993.62377,123960.0,238026210.96152,-180085792.40151998,0.9711245078740157,24792,49735,0.20990957428793985,0.4210976394486402,24643,45915
0.06,0.13999999999999999,1166411.62625,215634582.76683998,150215.0,216951209.39308998,-159010790.83308998,0.9691683070866142,30043,44484,0.2543688827175128,0.3766383310190673,29841,40717
0.06,0.16,1229088.575,196207945.81206,172445.0,197609479.38706,-139669060.82705998,0.9672121062992126,34489,40038,0.2920123954346869,0.3389948183018932,34234,36324
0.06,0.18,1306348.50875,180191489.53070998,190850.0,181688688.03945997,-123748269.47945997,0.9655511811023622,38170,36357,0.3231787855183392,0.3078284282182409,37870,32688
0.06,0.19999999999999998,1406241.53075,164925562.28584,206880.0,166538683.81659,-108598265.25659001,0.9637795275590552,41376,33151,0.3503234327903275,0.28068378094625257,41028,29530
0.06,0.22,1503848.0929999999,151412995.2166,220710.0,153137553.3096,-95197134.7496,0.9621186023622048,44142,30385,0.3737426761946693,0.2572645375419108,43749,26809
0.06,0.24,1647149.57075,140446797.62451997,232450.0,142326397.19526997,-84385978.63526997,0.9604945866141732,46490,28037,0.39362278592474687,0.23738442781183325,46053,24505
0.06,0.26,1717537.87175,130810036.89436999,242820.0,132770394.76611999,-74829976.20611998,0.9592027559055117,48564,25963,0.4111829850645172,0.21982422867206286,48092,22466
0.06,0.28,1811578.7045,121417332.10076998,252545.0,123481455.80526999,-65541037.245269984,0.9575787401574803,50509,24018,0.4276509635249094,0.20335625021167067,49993,20565
0.06,0.30000000000000004,1938520.76375,113896582.9197,261075.0,116096178.68345,-58155760.123449996,0.9557332677165354,52215,22312,0.44209537033901175,0.18891184339756834,51649,18909
0.06,0.32,2137472.0045,106028498.37008,269105.0,108435075.37458,-50494656.81457999,0.9532972440944881,53821,20706,0.4556930944559217,0.17531411928065838,53189,17369
0.06,0.34,2247425.37425,99126679.99246998,276475.0,101650580.36671998,-43710161.80671997,0.9515994094488189,55295,19232,0.46817319741253766,0.1628340163240424,54617,15941
0.06,0.36000000000000004,2368729.3175,93173862.30298,282805.0,95825396.62048,-37884978.06048,0.9498646653543307,56561,17966,0.47889220035899344,0.15211501337758662,55836,14722
0.06,0.38,2442698.7005,87803817.33266999,288625.0,90535141.03316998,-32594722.473169982,0.9484621062992127,57725,16802,0.48874758695431303,0.14225962678226708,56962,13596
